"","q.2=0.0","q.2=0.1","q.2=0.2","q.2=0.3","q.2=0.4","q.2=0.5","q.2=0.6","q.2=0.7","q.2=0.9","q.2=0.9","q.2=1.0"
"q.1=0.0",NA,1,1,1,1,1,1,1,1,1,1
"q.1=0.1",-0.22,0,0.16,0.28,0.37,0.44,0.51,0.56,0.6,0.63,0.67
"q.1=0.2",-0.25,-0.11,0,0.1,0.18,0.25,0.31,0.37,0.42,0.46,0.5
"q.1=0.3",-0.29,-0.18,-0.08,0,0.08,0.14,0.2,0.26,0.31,0.36,0.4
"q.1=0.4",-0.33,-0.24,-0.15,-0.07,0,0.07,0.13,0.19,0.24,0.29,0.33
"q.1=0.5",-0.4,0,-0.22,-0.14,-0.07,0,0.06,0.12,0.18,0.24,1.2
"q.1=0.6",-0.5,-0.4,-0.31,-0.23,-0.15,-0.07,0,0.07,0.13,0.19,0.25
"q.1=0.7",-0.67,-0.56,-0.45,-0.35,-0.26,-0.17,-0.08,0,0.08,0.15,0.22
"q.1=0.9",-1,-0.85,-0.71,-0.58,-0.45,-0.33,-0.22,-0.11,0,0.1,0.2
"q.1=0.9",-2,-1.74,-1.49,-1.25,-1.02,-0.8,-0.59,-0.38,-0.19,0,0.18
"q.1=1.0",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA
