"year","RR","SR","SS","n","freqR","CI_95"
2000,0,0,1325,1325,0,0
2001,0,0,969,969,0,0
2002,0,0,71,71,0,0
2003,0,0,333,333,0,0
2004,0,0,210,210,0,0
2005,0,0,288,288,0,0
2006,0,0,800,800,0,0
2007,0,0,153,153,0,0
2008,0,0,312,312,0,0
2009,0,0,202,202,0,0
2010,24,25,399,448,0.0814732142857143,0.0179124670503557
2011,9,66,353,428,0.0981308411214953,0.0199293767631952
2012,33,100,179,312,0.266025641025641,0.0346709682151802
2013,149,189,89,427,0.570257611241218,0.0332021936359037
2014,3337,2469,525,6331,0.722081819617754,0.00780291005671724
2015,77,68,14,159,0.69811320754717,0.0504577052076497
2016,343,380,98,821,0.649208282582217,0.0230826776263423
2017,220,268,53,541,0.654343807763401,0.0283378965247474
